"Book","Part","Content"
Chapter 1,Explore,"[Data Visualization with ggplot2](./r4ds/Chapter_01.html)"
Chapter 1,Explore,"[Plot Reference (Personal)](./r4ds/Plot_Reference.html)"
Chapter 2,Explore,"Workflow Basics (contains no exercises)"
Chapter 3,Explore,"[Data Transformation with dplyr](./r4ds/Chapter_03.html)"
Chapter 4,Explore,"Workflow Scripts (contains no exercises)"
Chapter 5,Explore,"[Exploratory Data Analysis (EDA)](./r4ds/Chapter_05.html)"
Chapter 6,Explore,"Workflow Projects"
Chapter 7,Explore,"[Tibbles with tibble](./r4ds/Chapter_07.html)"
Chapter 8,Wrangle,"[Data Import with readr](./r4ds/Chapter_08.html)"
Chapter 9,Wrangle,"[Tidy Data with tidyr](./r4ds/Chapter_09.html)"
Chapter 10,Wrangle,"[Relational Data with dplyr](./r4ds/Chapter_10.html)"
